gender,age,age_o,race,race_o,samerace,importance_same_race,importance_same_religion,field,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_important,sincere_important,intelligence_important,funny_important,ambition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_parter,funny_partner,ambition_partner,shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,interests_correlate,expected_happy_with_sd_people,like,decision
0,30,30,3,2,0,1,1,0,0.35,0.1,0.2,0.25,0.05,0.05,0.16666666666666666,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.05555555555555555,0.1111111111111111,8,9,7,9,7,5.0,5.0,7.0,7.0,5.0,4.0,2,1,9,9,6,8,4,1,2,9,3,10,8,4,4,3,9,0.05,3,6.0,0
0,30,32,3,2,0,1,1,0,0.5,0.0,0.1,0.3,0.0,0.1,0.16666666666666666,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.05555555555555555,0.1111111111111111,8,9,7,9,7,6.0,7.0,7.0,7.0,8.0,5.0,2,1,9,9,6,8,4,1,2,9,3,10,8,4,4,3,9,0.27,3,6.0,1
0,30,24,3,2,0,1,1,0,0.2,0.15,0.2,0.2,0.15,0.1,0.16666666666666666,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.05555555555555555,0.1111111111111111,8,9,7,9,7,5.0,4.0,3.0,6.0,5.0,4.0,2,1,9,9,6,8,4,1,2,9,3,10,8,4,4,3,9,0.13,3,6.0,0
0,30,26,3,0,0,1,1,0,0.25,0.2,0.2,0.2,0.05,0.1,0.16666666666666666,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.05555555555555555,0.1111111111111111,8,9,7,9,7,5.0,8.0,7.0,5.0,6.0,3.0,2,1,9,9,6,8,4,1,2,9,3,10,8,4,4,3,9,0.0,3,8.0,0
0,30,24,3,2,0,1,1,0,0.2,0.2,0.2,0.2,0.1,0.1,0.16666666666666666,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.05555555555555555,0.1111111111111111,8,9,7,9,7,5.0,5.0,5.0,4.0,3.0,3.0,2,1,9,9,6,8,4,1,2,9,3,10,8,4,4,3,9,-0.13,3,4.0,0
0,30,30,3,2,0,1,1,0,0.25,0.2,0.2,0.2,0.0,0.15,0.16666666666666666,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.05555555555555555,0.1111111111111111,8,9,7,9,7,6.0,5.0,8.0,5.0,5.0,7.0,2,1,9,9,6,8,4,1,2,9,3,10,8,4,4,3,9,0.49,3,5.0,0
0,30,30,3,2,0,1,1,0,0.4,0.1,0.2,0.1,0.0,0.2,0.16666666666666666,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.05555555555555555,0.1111111111111111,8,9,7,9,7,7.0,4.0,6.0,5.0,6.0,3.0,2,1,9,9,6,8,4,1,2,9,3,10,8,4,4,3,9,-0.01,3,4.0,1
0,30,30,3,2,0,1,1,0,0.3,0.03,0.3,0.3,0.03,0.04,0.16666666666666666,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.05555555555555555,0.1111111111111111,8,9,7,9,7,6.0,4.0,5.0,4.0,5.0,3.0,2,1,9,9,6,8,4,1,2,9,3,10,8,4,4,3,9,0.64,3,4.0,0
0,30,25,3,2,0,1,1,0,0.7,0.0,0.15,0.15,0.0,0.0,0.16666666666666666,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.05555555555555555,0.1111111111111111,8,9,7,9,7,6.0,5.0,4.0,3.0,6.0,5.0,2,1,9,9,6,8,4,1,2,9,3,10,8,4,4,3,9,0.43,3,3.0,0
0,30,24,3,4,0,1,1,0,0.3,0.3,0.3,0.05,0.02,0.03,0.16666666666666666,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.05555555555555555,0.1111111111111111,8,9,7,9,7,3.0,4.0,5.0,6.0,5.0,4.0,2,1,9,9,6,8,4,1,2,9,3,10,8,4,4,3,9,-0.01,3,4.0,0
0,30,27,3,1,0,1,1,0,0.4,0.2,0.2,0.2,0.0,0.0,0.16666666666666666,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.05555555555555555,0.1111111111111111,8,9,7,9,7,3.0,4.0,4.0,2.0,5.0,1.0,2,1,9,9,6,8,4,1,2,9,3,10,8,4,4,3,9,0.43,3,2.0,0
0,30,25,3,0,0,1,1,0,0.15,0.3,0.2,0.2,0.1,0.05,0.16666666666666666,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.05555555555555555,0.1111111111111111,8,9,7,9,7,3.0,7.0,8.0,6.0,5.0,4.0,2,1,9,9,6,8,4,1,2,9,3,10,8,4,4,3,9,0.05,3,4.0,0
