gender,age,age_o,samerace,importance_same_race,importance_same_religion,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_important,sincere_important,intelligence_important,funny_important,ambition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_parter,funny_partner,ambition_partner,shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,interests_correlate,expected_happy_with_sd_people,like,decision
0,21,27,0,2,4,0.35,0.2,0.2,0.2,0.0,0.05,0.15,0.2,0.2,0.15,0.15,0.15,6,8,8,8,7,6.0,9.0,7.0,7.0,6.0,5.0,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.14,3,7.0,1
0,21,25,1,9,8,0.24,0.15,0.2,0.2,0.08,0.13,0.25,0.25,0.15,0.15,0.1,0.1,8,10,9,8,9,7.0,8.0,9.0,7.0,8.0,7.0,5,2,8,8,10,10,3,3,5,10,8,10,10,8,8,8,6,0.57,7,7.0,1
0,21,29,0,9,8,0.5,0.2,0.1,0.1,0.05,0.05,0.25,0.25,0.15,0.15,0.1,0.1,8,10,9,8,9,5.0,9.0,9.0,7.0,9.0,8.0,5,2,8,8,10,10,3,3,5,10,8,10,10,8,8,8,6,-0.06,7,5.0,0
0,21,23,1,9,8,0.25,0.05,0.3,0.15,0.05,0.2,0.25,0.25,0.15,0.15,0.1,0.1,8,10,9,8,9,5.0,5.0,5.0,5.0,9.0,6.0,5,2,8,8,10,10,3,3,5,10,8,10,10,8,8,8,6,0.14,7,5.0,0
0,21,27,1,9,8,0.19,0.13,0.18,0.18,0.1,0.22,0.25,0.25,0.15,0.15,0.1,0.1,8,10,9,8,9,5.0,7.0,7.0,7.0,7.0,7.0,5,2,8,8,10,10,3,3,5,10,8,10,10,8,8,8,6,-0.15,7,7.0,0
0,21,32,0,9,8,0.2,0.1,0.3,0.2,0.1,0.1,0.25,0.25,0.15,0.15,0.1,0.1,8,10,9,8,9,5.0,7.0,7.0,6.0,8.0,6.0,5,2,8,8,10,10,3,3,5,10,8,10,10,8,8,8,6,0.5,7,7.0,0
0,21,27,1,9,8,0.06669333066693331,0.19048095190480954,0.42855714428557146,0.09519048095190481,0.14288571142885712,0.07619238076192382,0.25,0.25,0.15,0.15,0.1,0.1,8,10,9,8,9,3.0,5.0,7.0,5.0,9.0,5.0,5,2,8,8,10,10,3,3,5,10,8,10,10,8,8,8,6,0.34,7,4.0,0
0,21,25,1,9,8,0.25,0.2,0.15,0.25,0.1,0.05,0.25,0.25,0.15,0.15,0.1,0.1,8,10,9,8,9,7.0,7.0,7.0,8.0,9.0,7.0,5,2,8,8,10,10,3,3,5,10,8,10,10,8,8,8,6,0.19,7,7.0,1
0,21,30,1,9,8,0.5,0.0,0.2,0.2,0.0,0.1,0.25,0.25,0.15,0.15,0.1,0.1,8,10,9,8,9,8.0,8.0,7.0,7.0,9.0,8.0,5,2,8,8,10,10,3,3,5,10,8,10,10,8,8,8,6,0.45,7,7.0,1
0,21,29,0,9,8,0.4,0.3,0.1,0.08,0.02,0.1,0.25,0.25,0.15,0.15,0.1,0.1,8,10,9,8,9,3.0,8.0,8.0,7.0,9.0,9.0,5,2,8,8,10,10,3,3,5,10,8,10,10,8,8,8,6,0.02,7,6.0,0
